"ID",Tên test case,Điều kiện tiên quyết,Bước thực hiện,Kết quả mong đợi,Mức độ ưu tiên
TC_LOGIN_01,Đăng nhập thành công với tài khoản hợp lệ,Truy cập trang login,"1. Nhập username_input = ""Admin""
2. Nhập password_input = ""admin123""
3. Click login_btn","Chuyển hướng sang /dashboard/index, hiển thị dashboard_heading ""Dashboard""",Cao
TC_LOGIN_02,Đăng nhập sai username,Truy cập trang login,"1. Nhập username_input = ""wronguser""
2. Nhập password_input = ""admin123""
3. Click login_btn","Vẫn ở trang login, hiển thị invalid_credentials_alert = ""Invalid credentials""",Cao
TC_LOGIN_03,Đăng nhập sai password,Truy cập trang login,"1. Nhập username_input = ""Admin""
2. Nhập password_input = ""wrongpass""
3. Click login_btn","Hiển thị invalid_credentials_alert = ""Invalid credentials""",Cao
TC_LOGIN_04,Bỏ trống cả 2 trường khi submit,Truy cập trang login,"1. Không nhập gì
2. Click login_btn","Hiển thị username_required_error và password_required_error = ""Required""",Trung bình
TC_LOGIN_05,Bỏ trống Username,Truy cập trang login,"1. Chỉ nhập password_input
2. Click login_btn","Hiển thị username_required_error = ""Required""",Trung bình
TC_LOGIN_06,Bỏ trống Password,Truy cập trang login,"1. Chỉ nhập username_input
2. Click login_btn","Hiển thị password_required_error = ""Required""",Trung bình
TC_LOGIN_07,"Click ""Forgot your password?""",Truy cập trang login,1. Click forgot_password_link,"Chuyển sang trang requestPasswordResetCode, hiển thị reset_password_heading",Trung bình
TC_LOGIN_08,Kiểm tra logo hiển thị đúng,Truy cập trang login,1. Quan sát logo_image,"logo_image visible, không bị vỡ ảnh",Thấp
TC_LOGIN_09,"Sau login, kiểm tra đúng tên user hiển thị",Đã đăng nhập bằng Admin/admin123,1. Quan sát logged_in_user_name,"Text hiển thị = ""Admin""",Cao
TC_LOGIN_10,Menu chính hiển thị đầy đủ sau login,Đã đăng nhập,1. Quan sát main_menu_items / từng header_xxx,"Hiển thị đủ 11 menu: Admin, PIM, Leave, Time, Recruitment, My Info, Performance, Dashboard, Directory, Maintenance, Buzz",Cao
